"Date","Run","LeafID","Tcrit","StdErr","T50","xlow","xhigh","maxthreshold"
"20250930","3","2085","47.912","0.814","53.556","31","85","0.9"
"20250930","3","2085","49.45","0.577","53.556","31","85","0.9"
"20250930","3","2086","45.447","0.499","49.73","31","85","0.9"
"20250930","3","2086","45.653","0.611","49.73","31","85","0.9"
"20250930","3","2087","53.071","0.286","53.556","31","85","0.9"
"20250930","3","2087","51.885","0.33","53.556","31","85","0.9"
"20250930","3","2088","46.472","1.175","51.038","31","85","0.9"
"20250930","3","2088","51.763","0.385","53.556","31","85","0.9"
"20250930","3","2089","43.99","1.208","34.972","31","85","0.9"
"20250930","3","2089","44.156","0.794","48.522","31","85","0.9"
"20250930","3","2090","45.65","0.779","54.788","31","85","0.9"
"20250930","3","2090","44.346","0.81","51.038","31","85","0.9"
"20250930","3","2091","47.907","0.462","51.038","31","85","0.9"
"20250930","3","2091","53.556","2.157","56.092","31","85","0.9"
"20250930","3","2092","43.131","1.346","49.73","31","85","0.9"
"20250930","3","2092","47.905","0.708","48.522","31","85","0.9"
"20250930","3","2093","54.788","1.676","59.83","31","85","0.9"
"20250930","3","2093","48.021","0.622","51.038","31","85","0.9"
"20250930","3","1478","46.645","0.534","52.264","31","85","0.9"
"20250930","3","1478","47.716","0.654","52.264","31","85","0.9"
"20250930","3","2004","45.207","0.474","49.73","31","85","0.9"
"20250930","3","2004","43.988","0.629","49.73","31","85","0.9"
"20250930","3","2005","43.161","1.539","54.788","31","85","0.9"
"20250930","3","2005","55.937","0.192","56.092","31","85","0.9"
"20250930","3","2006","47.976","0.648","52.264","31","85","0.9"
"20250930","3","2006","47.989","0.488","52.264","31","85","0.9"
"20250930","3","2007","45.419","0.844","52.264","31","85","0.9"
"20250930","3","2007","56.092","4.526","64.896","31","85","0.9"
"20250930","3","2008","51.824","0.266","53.556","31","85","0.9"
"20250930","3","2008","52.157","0.339","56.092","31","85","0.9"
"20250930","3","2012","45.403","2.666","52.264","31","85","0.9"
"20250930","3","2012","47.722","0.751","53.556","31","85","0.9"
"20250930","3","2013","48.484","1.238","53.556","31","85","0.9"
"20250930","3","2013","55.972","0.093","57.302","31","85","0.9"
"20250930","3","2015","45.364","1.063","54.788","31","85","0.9"
"20250930","3","2015","54.479","0.207","54.788","31","85","0.9"
"20250930","3","2016","47.444","0.906","53.556","31","85","0.9"
"20250930","3","2016","45.686","0.678","49.73","31","85","0.9"
