"Date","Run","LeafID","Tcrit","StdErr","T50","xlow","xhigh","maxthreshold"
"20250917","1","2010","43.746","2.362","49.71","35","80","0.9"
"20250917","1","2010","54.762","2.243","57.312","35","80","0.9"
"20250917","1","2301","49.244","0.196","51.036","35","80","0.9"
"20250917","1","2301","49.31","0.196","51.036","35","80","0.9"
"20250917","1","2331","56.076","1.383","57.312","35","80","0.9"
"20250917","1","2331","47.931","0.355","51.036","35","80","0.9"
"20250917","1","2345","49.39","0.329","52.254","35","80","0.9"
"20250917","1","2345","50.793","0.229","52.254","35","80","0.9"
"20250917","1","2346","45.624","2.133","56.076","35","80","0.9"
"20250917","1","2346","45.772","2.357","57.312","35","80","0.9"
"20250917","1","2347","59.832","0.22","53.558","35","80","0.9"
"20250917","1","2347","44.053","2.694","56.076","35","80","0.9"
"20250917","1","2352","49.304","0.214","51.036","35","80","0.9"
"20250917","1","2352","45.459","0.403","48.51","35","80","0.9"
"20250917","1","2354","48.319","0.223","49.71","35","80","0.9"
"20250917","1","2354","49.239","0.27","51.036","35","80","0.9"
"20250917","1","2370","44.946","2.042","51.036","35","80","0.9"
"20250917","1","2370","45.209","1.551","56.076","35","80","0.9"
"20250917","1","2375","57.312","0.727","51.036","35","80","0.9"
"20250917","1","2375","52.254","3.89","49.71","35","80","0.9"
"20250917","1","2376","46.778","0.194","49.71","35","80","0.9"
"20250917","1","2376","54.763","2.781","51.036","35","80","0.9"
"20250917","1","2377","54.762","1.379","59.832","35","80","0.9"
"20250917","1","2377","48.482","0.29","51.036","35","80","0.9"
"20250917","1","2378","53.818","2.145","56.076","35","80","0.9"
"20250917","1","2378","53.558","1.597","56.076","35","80","0.9"
"20250917","1","2380","50.316","0.172","52.254","35","80","0.9"
"20250917","1","2380","45.173","1.567","52.254","35","80","0.9"
"20250917","1","2381","44.884","2.059","57.312","35","80","0.9"
"20250917","1","2381","45.005","1.885","52.254","35","80","0.9"
"20250917","1","2382","46.175","1.635","53.558","35","80","0.9"
"20250917","1","2382","47.003","0.478","54.762","35","80","0.9"
"20250917","1","2383","53.431","0.139","54.762","35","80","0.9"
"20250917","1","2383","53.404","0.175","54.762","35","80","0.9"
"20250917","1","2384","55.929","0.213","56.076","35","80","0.9"
"20250917","1","2384","44.047","2.07","53.558","35","80","0.9"
