"Date","Run","LeafID","Tcrit","StdErr","T50","xlow","xhigh","maxthreshold"
"20250923","2","2010","46.132","0.442","52.234","35","80","0.9"
"20250923","2","2010","47.431","1.189","54.79","35","80","0.9"
"20250923","2","2011","46.248","1.19","52.234","35","80","0.9"
"20250923","2","2011","46.807","0.62","52.234","35","80","0.9"
"20250923","2","2022","48.379","0.265","51.03","35","80","0.9"
"20250923","2","2022","55.977","1.359","52.234","35","80","0.9"
"20250923","2","2023","48.363","0.372","52.234","35","80","0.9"
"20250923","2","2023","43.134","3.246","52.234","35","80","0.9"
"20250923","2","2301","43.469","4.871","52.234","35","80","0.9"
"20250923","2","2301","43.169","5.137","56.096","35","80","0.9"
"20250923","2","2331","46.299","1.606","54.79","35","80","0.9"
"20250923","2","2331","59.75","0.198","54.79","35","80","0.9"
"20250923","2","2352","53.566","2.302","49.718","35","80","0.9"
"20250923","2","2352","46.583","0.519","49.718","35","80","0.9"
"20250923","2","2345","54.615","1.471","51.03","35","80","0.9"
"20250923","2","2345","48.258","0.228","49.718","35","80","0.9"
"20250923","2","2346","54.79","2.936","58.622","35","80","0.9"
"20250923","2","2346","42.766","5.464","51.03","35","80","0.9"
"20250923","2","2347","45.63","0.314","49.718","35","80","0.9"
"20250923","2","2347","46.467","0.289","49.718","35","80","0.9"
"20250923","2","2354","47.819","0.198","49.718","35","80","0.9"
"20250923","2","2354","46.669","0.22","48.516","35","80","0.9"
"20250923","2","2370","47.907","0.214","49.718","35","80","0.9"
"20250923","2","2370","48.302","0.263","51.03","35","80","0.9"
"20250923","2","2375","47.815","0.317","48.516","35","80","0.9"
"20250923","2","2375","45.992","1.137","52.234","35","80","0.9"
"20250923","2","2376","46.662","0.297","49.718","35","80","0.9"
"20250923","2","2376","48.984","0.241","51.03","35","80","0.9"
"20250923","2","2377","48.224","0.205","51.03","35","80","0.9"
"20250923","2","2377","48.922","0.186","51.03","35","80","0.9"
"20250923","2","2378","42.959","3.819","51.03","35","80","0.9"
"20250923","2","2378","44.15","1.907","56.096","35","80","0.9"
"20250923","2","2379","45.479","0.272","49.718","35","80","0.9"
"20250923","2","2379","43.296","2.411","56.096","35","80","0.9"
"20250923","2","2380","50.293","0.178","52.234","35","80","0.9"
"20250923","2","2380","50.108","0.277","52.234","35","80","0.9"
"20250923","2","2381","56.096","0.206","52.234","35","80","0.9"
"20250923","2","2381","55.939","0.275","56.096","35","80","0.9"
"20250923","2","2382","46.956","0.271","54.79","35","80","0.9"
"20250923","2","2382","47.837","0.904","54.79","35","80","0.9"
"20250923","2","2383","47.904","0.948","54.79","35","80","0.9"
"20250923","2","2383","48.927","0.285","53.566","35","80","0.9"
"20250923","2","2384","47.995","0.701","53.566","35","80","0.9"
"20250923","2","2384","46.534","1.71","57.294","35","80","0.9"
