Grid ID,Sample
A1,2010
A2,2010
A3,2301
A4,2301
A5,2331
A6,2331
A7,2345
A8,2345
B1,2346
B2,2346
B3,2347
B4,2347
B5,2352
B6,2352
B7,2354
B8,2354
C1,2370
C2,2370
C3,2375
C4,2375
C5,2376
C6,2376
C7,2377
C8,2377
D1,2378
D2,2378
D3,2380
D4,2380
D5,2381
D6,2381
D7,2382
D8,2382
E1,2383
E2,2383
E3,2384
E4,2384
