Photo Number:,Tree Number:,Azimuth:,Pitch:,Angle of Photo Taken:,Leaf Number:,Angle Related to Straight Line:,Z-Axis Angle:,Notes:
,,,,,5,7.065,45,
,,,,,6,38.367,60,
,,,,,7,149.773,15,
,,,,,8,1.256,45,
,,,,,9,46.584,35,
,,,,,10,16.23,0,
5864,2381,332.1,-3.6,-0.5,1,127.332,45,
,,,,,2,119.285,60,
,,,,,3,160.174,50,
,,,,,4,12.107,25,
,,,,,5,50.259,30,
,,,,,6,26.03,5,
,,,,,7,155.064,10,
,,,,,8,33.126,5,
,,,,,9,163.496,10,
,,,,,10,168.996,10,
5869,2383,327.3,4.6,0,1,136.66,45,
,,,,,2,19.304,20,
,,,,,3,139.699,20,
,,,,,4,143.326,90,
,,,,,5,174.628,10,
,,,,,6,34.632,5,
,,,,,7,12.001,5,
,,,,,8,18.934,15,
,,,,,9,10.31,30,
,,,,,10,32.752,65,
5876,2383,149.9,8.2,-1.5,1,151.964,5,
,,,,,2,25.793,5,
,,,,,3,128.787,5,
,,,,,4,67.231,15,
,,,,,5,18.139,10,
,,,,,6,171.347,5,
,,,,,7,1.829,0,
,,,,,8,71.887,10,
,,,,,9,8.217,10,
,,,,,10,54.46,0,
5879,2382,29.1,5.2,-0.5,1,129.518,80,
,,,,,2,39.984,85,
,,,,,3,100.826,30,
,,,,,4,51.986,20,
,,,,,5,128.609,10,
,,,,,6,41.252,10,
,,,,,7,32.453,5,
,,,,,8,29.183,80,
,,,,,9,76.748,45,
,,,,,10,56.519,0,
5883,2382,332.6,9.8,1.6,1,168.69,5,
,,,,,2,127.104,5,
,,,,,3,164.337,15,
,,,,,4,18.862,0,
,,,,,5,95.681,0,
,,,,,6,15.717,5,
,,,,,7,30.395,5,
,,,,,8,165.461,5,
,,,,,9,125.873,25,
,,,,,10,49.475,10,
5893,2010,20.1,-7.7,-0.8,1,88.091,20,
,,,,,2,24.4,0,
,,,,,3,127.476,5,
,,,,,4,148.702,10,
,,,,,5,19.732,45,
,,,,,6,161.619,40,
,,,,,7,145.737,40,
,,,,,8,143.31,0,
,,,,,9,175.092,90,
,,,,,10,47.676,10,
5898,2010,84.5,5.2,0,1,34.349,5,
,,,,,2,87.295,5,
,,,,,3,79.665,20,
,,,,,4,32.587,10,
,,,,,5,112.341,45,
,,,,,6,117.673,45,
,,,,,7,35.838,40,
,,,,,8,28.585,30,
,,,,,9,29.173,20,
,,,,,10,92.663,85,
5906,2378,158.5,-0.7,0,1,149.029,35,
,,,,,2,75.489,10,
,,,,,3,59.003,0,
,,,,,4,35.27,5,
,,,,,5,39.066,20,
,,,,,6,98.326,15,
,,,,,7,8.395,0,
,,,,,8,162.818,45,
