Photo Number:,Tree Number:,Azimuth:,Pitch:,Angle of Photo Taken:,Leaf Number:,Angle Related to Straight Line:,Z-Axis Angle:,Notes:
5849,2381,70.5,7.2,0.7,3,98.557,10,
5849,2381,70.5,7.2,0.7,4,52.001,40,
5849,2381,70.5,7.2,0.7,5,7.065,45,
5849,2381,70.5,7.2,0.7,6,38.367,60,
5849,2381,70.5,7.2,0.7,7,149.773,15,
5849,2381,70.5,7.2,0.7,8,1.256,45,
5849,2381,70.5,7.2,0.7,9,46.584,35,
5849,2381,70.5,7.2,0.7,10,16.230,0,
5864,2381,332.1,-3.6,-0.5,1,127.332,45,
5864,2381,332.1,-3.6,-0.5,2,119.285,60,
5864,2381,332.1,-3.6,-0.5,3,160.174,50,
5864,2381,332.1,-3.6,-0.5,4,12.107,25,
5864,2381,332.1,-3.6,-0.5,5,50.259,30,
5864,2381,332.1,-3.6,-0.5,6,26.030,5,
5864,2381,332.1,-3.6,-0.5,7,155.064,10,
5864,2381,332.1,-3.6,-0.5,8,33.126,5,
5864,2381,332.1,-3.6,-0.5,9,163.496,10,
5864,2381,332.1,-3.6,-0.5,10,168.996,10,
5869,2383,327.3,4.6,0,1,136.660,45,
5869,2383,327.3,4.6,0,2,19.304,20,
5869,2383,327.3,4.6,0,3,139.699,20,
5869,2383,327.3,4.6,0,4,143.326,90,
5869,2383,327.3,4.6,0,5,174.628,10,
5869,2383,327.3,4.6,0,6,34.632,5,
5869,2383,327.3,4.6,0,7,12.001,5,
5869,2383,327.3,4.6,0,8,18.934,15,
5869,2383,327.3,4.6,0,9,10.310,30,
5869,2383,327.3,4.6,0,10,32.752,65,
5876,2383,149.9,8.2,-1.5,1,151.964,5,
5876,2383,149.9,8.2,-1.5,2,25.793,5,
5876,2383,149.9,8.2,-1.5,3,128.787,5,
5876,2383,149.9,8.2,-1.5,4,67.231,15,
5876,2383,149.9,8.2,-1.5,5,18.139,10,
5876,2383,149.9,8.2,-1.5,6,171.347,5,
5876,2383,149.9,8.2,-1.5,7,1.829,0,
5876,2383,149.9,8.2,-1.5,8,71.887,10,
5876,2383,149.9,8.2,-1.5,9,8.217,10,
5876,2383,149.9,8.2,-1.5,10,54.460,0,
5879,2382,29.1,5.2,-0.5,1,129.518,80,
5879,2382,29.1,5.2,-0.5,2,39.984,85,
5879,2382,29.1,5.2,-0.5,3,100.826,30,
5879,2382,29.1,5.2,-0.5,4,51.986,20,
5879,2382,29.1,5.2,-0.5,5,128.609,10,
5879,2382,29.1,5.2,-0.5,6,41.252,10,
5879,2382,29.1,5.2,-0.5,7,32.453,5,
5879,2382,29.1,5.2,-0.5,8,29.183,80,
5879,2382,29.1,5.2,-0.5,9,76.748,45,
5879,2382,29.1,5.2,-0.5,10,56.519,0,
5883,2382,332.6,9.8,1.6,1,168.690,5,
5883,2382,332.6,9.8,1.6,2,127.104,5,
5883,2382,332.6,9.8,1.6,3,164.337,15,
5883,2382,332.6,9.8,1.6,4,18.862,0,
5883,2382,332.6,9.8,1.6,5,95.681,0,
5883,2382,332.6,9.8,1.6,6,15.717,5,
5883,2382,332.6,9.8,1.6,7,30.395,5,
5883,2382,332.6,9.8,1.6,8,165.461,5,
5883,2382,332.6,9.8,1.6,9,125.873,25,
5883,2382,332.6,9.8,1.6,10,49.475,10,
5893,2010,20.1,-7.7,-0.8,1,88.091,20,
5893,2010,20.1,-7.7,-0.8,2,24.400,0,
5893,2010,20.1,-7.7,-0.8,3,127.476,5,
5893,2010,20.1,-7.7,-0.8,4,148.702,10,
5893,2010,20.1,-7.7,-0.8,5,19.732,45,
5893,2010,20.1,-7.7,-0.8,6,161.619,40,
5893,2010,20.1,-7.7,-0.8,7,145.737,40,
5893,2010,20.1,-7.7,-0.8,8,143.310,0,
5893,2010,20.1,-7.7,-0.8,9,175.092,90,
5893,2010,20.1,-7.7,-0.8,10,47.676,10,
5898,2010,84.5,5.2,0,1,34.349,5,
5898,2010,84.5,5.2,0,2,87.295,5,
5898,2010,84.5,5.2,0,3,79.665,20,
5898,2010,84.5,5.2,0,4,32.587,10,
5898,2010,84.5,5.2,0,5,112.341,45,
5898,2010,84.5,5.2,0,6,117.673,45,
5898,2010,84.5,5.2,0,7,35.838,40,
5898,2010,84.5,5.2,0,8,28.585,30,
5898,2010,84.5,5.2,0,9,29.173,20,
5898,2010,84.5,5.2,0,10,92.663,85,
5906,2378,158.5,-0.7,0,1,149.029,35,
5906,2378,158.5,-0.7,0,2,75.489,10,
5906,2378,158.5,-0.7,0,3,59.003,0,
5906,2378,158.5,-0.7,0,4,35.270,5,
5906,2378,158.5,-0.7,0,5,39.066,20,
5906,2378,158.5,-0.7,0,6,98.326,15,
5906,2378,158.5,-0.7,0,7,8.395,0,
5906,2378,158.5,-0.7,0,8,162.818,45,
5906,2378,158.5,-0.7,0,9,66.441,15,
5906,2378,158.5,-0.7,0,10,93.221,5,
5917,2378,8.5,-0.1,0,1,85.408,15,
5917,2378,8.5,-0.1,0,2,69.031,5,
5917,2378,8.5,-0.1,0,3,58.130,10,
5917,2378,8.5,-0.1,0,4,29.300,15,
5917,2378,8.5,-0.1,0,5,35.860,0,
5917,2378,8.5,-0.1,0,6,50.136,5,
5917,2378,8.5,-0.1,0,7,42.806,20,
5917,2378,8.5,-0.1,0,8,67.744,10,
5917,2378,8.5,-0.1,0,9,32.592,10,
5917,2378,8.5,-0.1,0,10,39.606,85,
5923,2380,304.6,8.5,0,1,33.082,20,
5923,2380,304.6,8.5,0,2,91.133,45,
5923,2380,304.6,8.5,0,3,32.858,15,
5923,2380,304.6,8.5,0,4,89.116,20,
5923,2380,304.6,8.5,0,5,11.412,55,
5923,2380,304.6,8.5,0,6,21.271,35,
5923,2380,304.6,8.5,0,7,129.061,45,
5923,2380,304.6,8.5,0,8,41.635,20,
5923,2380,304.6,8.5,0,9,24.731,15,
5923,2380,304.6,8.5,0,10,32.573,35,
5928,2380,46,5.7,-2.1,1,82.589,20,
5928,2380,46,5.7,-2.1,2,59.253,40,
5928,2380,46,5.7,-2.1,3,87.969,10,
5928,2380,46,5.7,-2.1,4,152.213,45,
5928,2380,46,5.7,-2.1,5,89.950,25,
5928,2380,46,5.7,-2.1,6,58.468,45,
5928,2380,46,5.7,-2.1,7,88.501,20,
5928,2380,46,5.7,-2.1,8,70.543,5,
5928,2380,46,5.7,-2.1,9,70.297,25,
5928,2380,46,5.7,-2.1,10,104.845,30,
5935,2377,43,7.6,0,1,113.148,45,
5935,2377,43,7.6,0,2,32.437,40,
5935,2377,43,7.6,0,3,51.673,45,
5935,2377,43,7.6,0,4,98.772,15,
5935,2377,43,7.6,0,5,4.365,35,
5935,2377,43,7.6,0,6,87.307,60,
5935,2377,43,7.6,0,7,44.956,25,
5935,2377,43,7.6,0,8,43.788,30,
5935,2377,43,7.6,0,9,18.012,35,
5935,2377,43,7.6,0,10,79.739,55,
5950,2377,226.4,7.2,0,1,22.144,40,
5950,2377,226.4,7.2,0,2,16.945,5,
5950,2377,226.4,7.2,0,3,41.514,30,
5950,2377,226.4,7.2,0,4,66.059,30,
5950,2377,226.4,7.2,0,5,75.269,40,
5950,2377,226.4,7.2,0,6,63.208,65,
5950,2377,226.4,7.2,0,7,7.126,50,
5950,2377,226.4,7.2,0,8,11.119,15,
5950,2377,226.4,7.2,0,9,113.037,25,
5950,2377,226.4,7.2,0,10,57.162,10,
5952,2352,118.7,11.9,0.6,1,119.366,5,
5952,2352,118.7,11.9,0.6,2,20.977,10,
5952,2352,118.7,11.9,0.6,3,79.531,25,
5952,2352,118.7,11.9,0.6,4,63.038,60,
5952,2352,118.7,11.9,0.6,5,142.883,15,
5952,2352,118.7,11.9,0.6,6,51.828,45,
5952,2352,118.7,11.9,0.6,7,4.640,5,
5952,2352,118.7,11.9,0.6,8,146.190,5,
5952,2352,118.7,11.9,0.6,9,6.409,10,
5952,2352,118.7,11.9,0.6,10,112.818,75,
5953,2352,111.1,13.4,-0.8,1,5.320,5,
5953,2352,111.1,13.4,-0.8,2,20.922,15,
5953,2352,111.1,13.4,-0.8,3,163.009,15,
5953,2352,111.1,13.4,-0.8,4,128.541,5,
5953,2352,111.1,13.4,-0.8,5,65.810,80,
5953,2352,111.1,13.4,-0.8,6,105.987,5,
5953,2352,111.1,13.4,-0.8,7,1.922,5,
5953,2352,111.1,13.4,-0.8,8,5.250,20,
5953,2352,111.1,13.4,-0.8,9,5.170,45,
5953,2352,111.1,13.4,-0.8,10,98.858,5,
5959,2346,113.1,-3,0,1,91.848,25,
5959,2346,113.1,-3,0,2,0.843,20,
5959,2346,113.1,-3,0,3,91.646,0,
5959,2346,113.1,-3,0,4,110.797,20,
5959,2346,113.1,-3,0,5,44.368,5,
5959,2346,113.1,-3,0,6,96.710,30,
5959,2346,113.1,-3,0,7,70.953,5,
5959,2346,113.1,-3,0,8,92.899,20,
5959,2346,113.1,-3,0,9,102.129,10,
5959,2346,113.1,-3,0,10,82.819,10,
5964,2346,324.2,13.6,-0.8,1,19.432,15,
5964,2346,324.2,13.6,-0.8,2,3.770,20,
5964,2346,324.2,13.6,-0.8,3,19.893,60,
5964,2346,324.2,13.6,-0.8,4,3.932,45,
5964,2346,324.2,13.6,-0.8,5,155.283,20,
5964,2346,324.2,13.6,-0.8,6,129.965,5,
5964,2346,324.2,13.6,-0.8,7,12.947,60,
5964,2346,324.2,13.6,-0.8,8,20.940,45,
5964,2346,324.2,13.6,-0.8,9,167.519,45,
5964,2346,324.2,13.6,-0.8,10,30.848,15,
5972,2347,250.5,2.4,-1.6,1,147.538,15,
5972,2347,250.5,2.4,-1.6,2,139.570,10,
5972,2347,250.5,2.4,-1.6,3,24.318,50,
5972,2347,250.5,2.4,-1.6,4,55.759,45,
5972,2347,250.5,2.4,-1.6,5,11.391,70,
5972,2347,250.5,2.4,-1.6,6,16.808,70,
5972,2347,250.5,2.4,-1.6,7,172.774,45,
5972,2347,250.5,2.4,-1.6,8,42.789,90,
5972,2347,250.5,2.4,-1.6,9,32.062,5,
5972,2347,250.5,2.4,-1.6,10,129.337,0,
5978,2347,169.9,-9.4,0,1,143.373,40,
5978,2347,169.9,-9.4,0,2,18.492,80,
5978,2347,169.9,-9.4,0,3,144.276,15,
5978,2347,169.9,-9.4,0,4,139.864,10,
5978,2347,169.9,-9.4,0,5,148.932,30,
5978,2347,169.9,-9.4,0,6,149.221,5,
5978,2347,169.9,-9.4,0,7,143.833,5,
5978,2347,169.9,-9.4,0,8,92.857,5,
5978,2347,169.9,-9.4,0,9,173.220,10,
5978,2347,169.9,-9.4,0,10,175.994,0,
5980,2375,93.9,5.3,0,1,5.474,5,
5980,2375,93.9,5.3,0,2,15.966,5,
5980,2375,93.9,5.3,0,3,93.029,5,
5980,2375,93.9,5.3,0,4,6.331,10,
5980,2375,93.9,5.3,0,5,145.464,5,
5980,2375,93.9,5.3,0,6,7.098,10,
5980,2375,93.9,5.3,0,7,126.870,10,
5980,2375,93.9,5.3,0,8,8.666,10,
5980,2375,93.9,5.3,0,9,15.421,10,
5980,2375,93.9,5.3,0,10,55.582,5,
5989,2375,310.5,10.8,0.6,1,2.410,0,
5989,2375,310.5,10.8,0.6,2,59.534,5,
5989,2375,310.5,10.8,0.6,3,31.982,30,
5989,2375,310.5,10.8,0.6,4,30.168,15,
5989,2375,310.5,10.8,0.6,5,59.622,35,
5989,2375,310.5,10.8,0.6,6,104.331,5,
5989,2375,310.5,10.8,0.6,7,108.994,15,
5989,2375,310.5,10.8,0.6,8,50.300,0,
5989,2375,310.5,10.8,0.6,9,36.213,10,
5989,2375,310.5,10.8,0.6,10,15.583,0,
5992,2345,119.9,-1.2,0,1,45.084,30,
5992,2345,119.9,-1.2,0,2,79.850,10,
5992,2345,119.9,-1.2,0,3,95.255,60,
5992,2345,119.9,-1.2,0,4,145.545,5,
5992,2345,119.9,-1.2,0,5,165.320,10,
5992,2345,119.9,-1.2,0,6,173.725,45,
5992,2345,119.9,-1.2,0,7,93.814,15,
5992,2345,119.9,-1.2,0,8,13.548,30,
5992,2345,119.9,-1.2,0,9,12.385,25,
5992,2345,119.9,-1.2,0,10,162.998,30,
6002,2345,256.9,2.5,-1,1,129.546,15,
6002,2345,256.9,2.5,-1,2,158.023,20,
6002,2345,256.9,2.5,-1,3,2.618,40,
6002,2345,256.9,2.5,-1,4,163.914,20,
6002,2345,256.9,2.5,-1,5,138.834,25,
6002,2345,256.9,2.5,-1,6,0.999,50,
6002,2345,256.9,2.5,-1,7,50.043,45,
6002,2345,256.9,2.5,-1,8,25.066,15,
6002,2345,256.9,2.5,-1,9,144.173,45,
6002,2345,256.9,2.5,-1,10,119.328,15,
