"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-07-10 16:30:00",8,13.87,24.93,0.813,16.85,20.65,0.89473,1.09621,0.87026,0.96679,56.164,59.781,19.378,21.46,30.75,0.96386,1.38127,0.88165,0.99766,45.927,39.355,0.369,12.97,40.87,0.58262,1.83553,0.55574,1.68055,68.142,43.477,10.296,36,44.53,1.61672,2,1.57239,1.73997,47.778,53.874,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 16:45:00",9,13.78,25.06,0.827,17.31,20.78,0.91949,1.10353,0.88815,0.96415,54.37,58.816,19.272,21.35,30.58,0.95895,1.37371,0.87282,0.98715,46.392,39.823,0.211,13.32,10.59,0.59786,1.82353,0.56814,1.67461,66.277,42.598,10.455,37.08,44.67,1.66497,2.00602,1.601,1.75271,47.53,53.781,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 17:00:00",10,13.72,24.98,0.806,16.76,20.4,0.89045,1.08343,0.85505,0.92751,55.854,58.801,19.448,21.43,30.98,0.96293,1.39139,0.88349,0.99853,47.539,39.57,0.23,13.57,13.57,0.60921,1.92179,0.57418,1.7424,65.795,42.271,10.396,36.51,44.8,1.63933,2.01231,1.57373,1.75453,47.761,53.854,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 17:15:00",11,13.93,25.42,0.737,15.4,18.55,0.81801,0.9851,0.78801,0.84727,55.333,59.934,19.33,21.16,30.93,0.95024,1.3888,0.87719,0.99733,47.141,39.325,0.252,14.03,16.63,0.63023,2.00771,0.58828,1.74349,65.648,41.813,10.438,37.21,44.4,1.67077,1.99408,1.58281,1.73382,47.725,54.649,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 17:30:00",12,15.94,26.98,0.686,14.36,17.25,0.76294,0.91627,0.73317,0.79381,56.84,59.373,19.3,21.15,30.87,0.94979,1.38629,0.86873,0.98776,47.698,39.468,0.388,13.19,43.93,0.59232,1.97315,0.55337,1.69563,65.755,43.317,10.294,35.45,45.1,1.59206,2.02535,1.55912,1.75399,47.518,54.442,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 17:45:00",13,13.89,27.76,0.635,13.31,15.91,0.70699,0.84547,0.67542,0.72839,57.209,59.845,19.165,21.05,30.6,0.94547,1.37391,0.86551,0.98011,46.872,39.731,0.382,13.54,42.06,0.60834,1.88901,0.55432,1.57657,65.539,45.428,9.715,32.51,43.55,1.45998,1.95587,1.46008,1.7117,48.446,54.955,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 18:00:00",14,13.84,27.02,0.675,14.01,17.15,0.74439,0.91091,0.71319,0.78949,57.408,59.528,19.053,20.86,30.49,0.93715,1.36879,0.85839,0.98011,46.681,39.536,0.362,12.44,40.74,0.55892,1.83005,0.52,1.57158,66.173,44.558,10.583,38.46,44.25,1.72721,1.98738,1.57338,1.71427,48.283,55.615,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 18:15:00",15,13.73,25.81,0.757,15.68,19.26,0.83314,1.02279,0.79633,0.87853,55.696,59.726,18.836,20.69,30.07,0.92889,1.35065,0.84955,0.96589,46.674,39.532,0.361,12.18,41.04,0.54653,1.84329,0.5099,1.59457,67.915,44.655,9.883,35.02,42.26,1.57308,1.89797,1.49311,1.66186,49.018,56.355,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 18:30:00",16,13.64,24.63,0.773,15.93,19.75,0.84651,1.04905,0.81037,0.89815,55.494,59.369,18.671,20.43,29.88,0.91755,1.34241,0.83727,0.96123,46.736,39.333,0.361,12.29,40.82,0.55192,1.83317,0.51454,1.59227,67.606,45.325,10.021,35.23,43.15,1.58222,1.93793,1.51311,1.66643,50.005,56.256,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-07-10 18:45:00",17,13.56,23.71,0.771,15.58,20.15,0.82766,1.06977,0.79551,0.92281,55.825,58.616,18.148,19.94,28.96,0.89585,1.30109,0.81327,0.93899,48.072,38.704,0.353,11.98,40.01,0.53858,1.79693,0.49352,1.52919,66.521,46.151,10.354,39.55,41.27,1.77623,1.85303,1.54353,1.60687,50.305,57.795,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
