"TOA5","CR1000XSeries_C","CR1000X","31217","CR1000X.Std.05.01","CPU:1000x_8sapflow_v1.CR1X","27956","Station_Settings"
"TIMESTAMP","RECORD","MEAST_INTERVAL_MIN","ApplyAndRestart"
"TS","RN","",""
"","","",""
"2022-07-07 13:17:29.041",0,15,0
"2022-07-10 13:10:18.281",0,15,0
"2022-09-12 14:55:08.515",0,15,0
