,Solar Charger V2,Solar Charger V2,Solar Charger V2,Solar Charger V2,Solar Charger V2,Solar Charger V2,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Sapflow 1,Digital,,,,,,,,,,
,Charge Status,Battery Voltage,Battery Charge Current,System Current (Average),Battery Temperature,Input Voltage,SAP FLOW TOTAL,HEAT VELOCITY OUTER,HEAT VELOCITY INNER,ALPHA OUTER,ALPHA INNER,BETA OUTER,BETA INNER,TIME TO MAX T OUTER,TIME TO MAX T INNER,T DS PRE OUTER,T DS PRE INNER,SAP FLOW TOTAL,HEAT VELOCITY OUTER,HEAT VELOCITY INNER,ALPHA OUTER,ALPHA INNER,BETA OUTER,BETA INNER,TIME TO MAX T OUTER,TIME TO MAX T INNER,T DS PRE OUTER,T DS PRE INNER,SAP FLOW TOTAL,HEAT VELOCITY OUTER,HEAT VELOCITY INNER,ALPHA OUTER,ALPHA INNER,BETA OUTER,BETA INNER,TIME TO MAX T OUTER,TIME TO MAX T INNER,T DS PRE OUTER,T DS PRE INNER,SAP FLOW TOTAL,HEAT VELOCITY OUTER,HEAT VELOCITY INNER,ALPHA OUTER,ALPHA INNER,BETA OUTER,BETA INNER,TIME TO MAX T OUTER,TIME TO MAX T INNER,T DS PRE OUTER,T DS PRE INNER,Digital,,,,,,,,,,
Date/Time,Raw,Volts (V),Amps (A),Amps (A),Celsius (°C),Volts (V),Litres per Hour (L/hr),Raw,Raw,Raw,Raw,Raw,Raw,Seconds (s),Seconds (s),Celsius (°C),Celsius (°C),Litres per Hour (L/hr),Raw,Raw,Raw,Raw,Raw,Raw,Seconds (s),Seconds (s),Celsius (°C),Celsius (°C),Litres per Hour (L/hr),Raw,Raw,Raw,Raw,Raw,Raw,Seconds (s),Seconds (s),Celsius (°C),Celsius (°C),Litres per Hour (L/hr),Raw,Raw,Raw,Raw,Raw,Raw,Seconds (s),Seconds (s),Celsius (°C),Celsius (°C),Raw,,,,,,,,,,
25/11/21 18:20:11,Power down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2022 12:44,1,14.42,0.17,0.077,28.8,23.83,0.44,4.6,3.39,0.206,0.152,0.162,0.104,51.702,42.227,12.591,11.806,0.424,4.45,0.95,0.2,0.043,0.169,-0.039,51.077,50.405,13.927,13.09,0.8,4.45,2.63,0.2,0.118,0.178,0.069,55.183,45.332,13.988,13.292,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 12:59,8,14.41,0.174,0.064,28.8,21.43,0.434,4.53,3.34,0.203,0.15,0.163,0.107,50.466,41.663,12.872,12.112,0.45,4.72,1.01,0.212,0.046,0.181,-0.035,51.43,51.482,14.158,13.353,0.784,4.39,2.55,0.197,0.115,0.182,0.066,55.595,44.917,14.079,13.388,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 13:14,8,14.15,0.109,0.064,28.8,20.44,0.436,4.58,3.33,0.206,0.149,0.16,0.102,50.325,41.78,13.191,12.419,0.434,4.6,0.94,0.207,0.042,0.177,-0.036,52.001,49.829,14.439,13.615,0.751,4.17,2.49,0.188,0.112,0.171,0.064,55.231,44.811,14.189,13.518,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 13:29,8,14.03,0.089,0.065,28.8,20.73,0.418,4.47,3.11,0.201,0.14,0.153,0.096,51.313,41.424,13.382,12.669,0.41,4.38,0.84,0.196,0.038,0.162,-0.042,51.638,49.467,14.637,13.854,0.807,4.55,2.6,0.204,0.116,0.185,0.068,57.393,45.891,14.244,13.599,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 13:44,8,14.12,0.124,0.064,28.8,20.86,0.437,4.61,3.31,0.207,0.149,0.157,0.102,51.784,41.733,13.493,12.852,0.441,4.64,0.98,0.208,0.044,0.171,-0.042,50.974,50.043,14.683,13.999,0.737,4.06,2.47,0.182,0.111,0.169,0.067,59.017,46.118,14.557,13.771,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 13:59,8,14.3,0.19,0.078,28.8,21.43,0.417,4.39,3.17,0.197,0.142,0.15,0.095,51.42,41.529,13.648,13.045,0.415,4.42,0.86,0.199,0.038,0.161,-0.049,51.53,49.515,14.747,14.134,0.622,3.38,2.14,0.152,0.096,0.145,0.058,58.482,47.084,15.073,14.068,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 14:14,1,14.42,0.169,0.078,28.8,22.72,0.384,4.01,2.96,0.18,0.133,0.138,0.092,50.645,40.596,13.825,13.244,0.403,4.25,0.89,0.191,0.04,0.156,-0.045,52.204,49.36,14.824,14.247,0.616,3.3,2.17,0.148,0.097,0.13,0.055,54.604,46.504,15.514,14.425,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 14:29,8,14.19,0.097,0.066,28.8,20.58,0.414,4.31,3.2,0.193,0.144,0.146,0.1,50.707,41.64,13.997,13.447,0.419,4.39,0.95,0.197,0.043,0.165,-0.044,50.871,49.527,14.903,14.376,0.613,3.34,2.09,0.15,0.094,0.131,0.051,55.219,44.957,15.619,14.646,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 14:44,8,13.99,0.083,0.065,28.8,19.88,0.407,4.23,3.15,0.19,0.142,0.143,0.095,50.62,41.811,14.168,13.643,0.406,4.25,0.94,0.191,0.042,0.154,-0.045,50.808,48.636,14.939,14.475,0.589,3.28,1.93,0.148,0.087,0.127,0.049,55.709,45.44,15.737,14.817,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 14:59,8,14.23,0.136,0.064,28.8,22.7,0.407,4.2,3.19,0.189,0.143,0.138,0.094,50.703,41.74,14.381,13.847,0.437,4.5,1.08,0.202,0.049,0.166,-0.039,52.205,50.447,15.105,14.601,0.755,4.28,2.41,0.192,0.108,0.168,0.061,54.374,45.191,15.557,14.851,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 15:14,8,13.87,0.067,0.063,28.8,19.18,0.423,4.41,3.28,0.198,0.147,0.148,0.097,51.183,42.529,14.585,14.072,0.435,4.5,1.05,0.202,0.047,0.168,-0.038,51.377,49.877,15.378,14.815,0.719,4.04,2.33,0.181,0.104,0.162,0.056,53.302,44.53,15.327,14.795,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 15:29,8,13.73,0.051,0.063,28.8,17.75,0.405,4.17,3.19,0.187,0.143,0.141,0.095,50.577,40.935,14.676,14.226,0.428,4.49,0.97,0.201,0.043,0.167,-0.044,50.657,48.639,15.413,14.96,0.584,3.11,2.08,0.14,0.094,0.123,0.049,53.55,43.951,15.188,14.722,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 15:44,8,13.59,0.042,0.064,28.8,17.32,0.422,4.39,3.28,0.197,0.147,0.149,0.099,51.404,41.762,14.876,14.408,0.441,4.57,1.06,0.205,0.048,0.165,-0.045,50.455,48.439,15.408,15.036,0.659,3.52,2.33,0.158,0.104,0.138,0.055,54.737,44.727,15.081,14.669,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 15:59,8,13.53,0.045,0.063,28.8,17.18,0.445,4.61,3.47,0.207,0.156,0.152,0.101,51.004,42.033,14.944,14.545,0.483,4.96,1.2,0.223,0.054,0.179,-0.04,51.062,49.459,15.392,15.08,0.717,4.01,2.35,0.18,0.105,0.155,0.056,55.88,43.804,15.04,14.639,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 16:14,8,13.46,0.037,0.063,28.8,15.22,0.387,3.99,3.04,0.18,0.136,0.13,0.088,51.059,41.675,15.031,14.665,0.433,4.45,1.08,0.2,0.048,0.162,-0.043,50.181,48.423,15.415,15.137,0.624,3.46,2.08,0.155,0.094,0.134,0.051,55.359,44.521,15.049,14.641,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 16:29,8,13.39,0.029,0.063,28.8,17.05,0.419,4.41,3.2,0.198,0.144,0.145,0.096,51.374,41.47,15.088,14.765,0.413,4.25,1.03,0.191,0.046,0.154,-0.047,51.484,49.054,15.415,15.182,0.532,2.79,1.93,0.125,0.087,0.111,0.044,52.887,44.268,14.951,14.619,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 16:44,8,13.32,0.027,0.062,28.8,15.5,0.378,3.82,3.06,0.172,0.137,0.123,0.09,50.178,41.106,15.145,14.849,0.404,4.19,0.97,0.188,0.043,0.153,-0.044,50.966,48.639,15.4,15.209,0.48,2.47,1.79,0.111,0.081,0.096,0.041,54.03,43.759,14.855,14.543,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 16:59,8,13.27,0.022,0.063,28.8,14.79,0.365,3.66,2.98,0.164,0.134,0.118,0.084,50.348,40.962,15.191,14.928,0.456,4.71,1.11,0.212,0.05,0.167,-0.045,51.749,49.319,15.388,15.236,0.432,2.22,1.62,0.1,0.072,0.082,0.036,54.502,44.487,14.735,14.485,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 17:14,8,13.23,0.019,0.074,28.8,14.65,0.323,3.2,2.68,0.144,0.12,0.101,0.074,49.928,40.125,15.209,14.981,0.381,3.95,0.92,0.178,0.041,0.143,-0.045,51.337,47.77,15.389,15.26,0.354,1.74,1.41,0.079,0.064,0.064,0.025,54.062,44.05,14.58,14.406,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 17:29,8,13.2,0.016,0.062,28.8,14.09,0.313,3.11,2.6,0.14,0.116,0.092,0.071,49.768,40.952,15.225,15.024,0.338,3.54,0.78,0.159,0.035,0.121,-0.054,50.674,48.502,15.397,15.286,0.311,1.49,1.28,0.067,0.057,0.054,0.025,53.91,44.052,14.462,14.318,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 17:44,0,13.19,-0.001,0.075,28.8,14.11,0.296,2.89,2.52,0.13,0.113,0.088,0.068,49.77,40.693,15.234,15.057,0.325,3.42,0.71,0.154,0.032,0.116,-0.054,51.235,48.648,15.375,15.295,0.341,1.74,1.28,0.078,0.058,0.061,0.022,55.483,43.558,14.326,14.236,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 17:59,0,13.17,-0.004,0.074,28.8,13.26,0.268,2.55,2.35,0.114,0.105,0.073,0.063,49.892,40.242,15.236,15.085,0.307,3.27,0.65,0.146,0.029,0.108,-0.06,50.192,47.35,15.343,15.295,0.297,1.38,1.27,0.062,0.057,0.048,0.022,55.101,44.005,14.255,14.163,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 18:14,0,13.17,-0.004,0.063,28.8,11.6,0.273,2.57,2.43,0.115,0.109,0.074,0.066,49.517,40.7,15.24,15.11,0.309,3.28,0.65,0.148,0.029,0.11,-0.06,51.593,49.266,15.309,15.288,0.214,0.84,1.08,0.037,0.048,0.027,0.017,53.759,44.16,14.144,14.092,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 18:29,0,13.16,-0.004,0.062,28.8,2.64,0.28,2.68,2.44,0.12,0.11,0.076,0.064,48.545,41.385,15.204,15.112,0.295,3.11,0.65,0.14,0.029,0.107,-0.06,50.607,49.109,15.271,15.279,0.277,1.25,1.22,0.056,0.055,0.043,0.02,53.709,43.027,14.029,13.998,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 18:44,0,13.15,-0.004,0.063,28.8,0,0.28,2.71,2.39,0.122,0.107,0.074,0.062,49.854,40.774,15.139,15.094,0.309,3.28,0.65,0.147,0.029,0.109,-0.061,50.469,47.468,15.187,15.248,0.29,1.41,1.17,0.063,0.052,0.047,0.02,54.273,43.593,13.842,13.893,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 18:59,0,13.14,-0.003,0.063,28.8,0,0.24,2.17,2.22,0.097,0.1,0.056,0.06,47.835,40.83,15.054,15.051,0.286,3.06,0.59,0.137,0.026,0.102,-0.061,49.599,47.581,15.064,15.186,0.114,-0.04,1.09,-0.003,0.049,-0.003,0.017,51.181,43.078,13.672,13.767,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 19:14,0,13.14,-0.004,0.062,28.8,0,0.242,2.31,2.11,0.104,0.094,0.06,0.055,49.547,40.311,14.915,14.97,0.267,2.87,0.52,0.129,0.023,0.092,-0.067,50.944,48.201,14.926,15.103,0.247,1.09,1.11,0.049,0.05,0.033,0.02,53.024,43.583,13.353,13.572,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 19:29,0,13.13,-0.004,0.062,28.8,0,0.227,2.11,2.05,0.095,0.092,0.051,0.053,48.158,40.58,14.775,14.879,0.25,2.66,0.52,0.119,0.023,0.083,-0.071,50.272,47.014,14.779,15.007,0.112,0.21,0.81,0.009,0.036,0.003,0.009,52.229,42.886,13.113,13.399,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 19:44,0,13.12,-0.004,0.062,28.8,0,0.214,1.98,1.93,0.089,0.087,0.048,0.048,48.528,41.104,14.592,14.752,0.18,1.98,0.3,0.089,0.013,0.056,-0.077,49.849,47.934,14.581,14.878,0.215,0.97,0.95,0.043,0.043,0.027,0.011,53.563,43.706,12.801,13.17,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 19:59,0,13.11,-0.004,0.063,28.8,0,0.193,1.76,1.78,0.079,0.08,0.042,0.045,50.045,40.386,14.497,14.654,0.183,2.09,0.22,0.094,0.01,0.069,-0.073,50.88,48.139,14.47,14.763,0.151,0.43,0.94,0.019,0.042,0.013,0.011,55.168,43.35,12.794,13.053,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 20:14,0,13.11,-0.004,0.062,28.8,0,0.182,1.6,1.74,0.072,0.079,0.034,0.042,49.494,40.102,14.512,14.61,0.109,1.24,0.14,0.056,0.007,0.037,-0.076,49.602,47.687,14.519,14.73,0.133,0.36,0.84,0.016,0.038,0.008,0.008,55.017,44.589,12.937,13.049,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 20:29,0,13.11,-0.004,0.062,28.8,0,0.193,1.71,1.82,0.077,0.082,0.04,0.045,49.602,40.934,14.525,14.602,0.209,2.43,0.22,0.109,0.01,0.077,-0.073,50.695,47.435,14.497,14.705,0.034,-0.37,0.71,-0.018,0.032,-0.019,0.006,52.803,44.027,12.934,13.053,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 20:44,0,13.1,-0.004,0.062,28.8,0,0.209,1.9,1.93,0.086,0.087,0.046,0.048,49.3,40.319,14.409,14.537,0.219,2.62,0.14,0.117,0.007,0.078,-0.077,50.212,47.213,14.395,14.652,0.197,0.89,0.87,0.04,0.039,0.027,0.011,53.42,43.559,12.701,12.945,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 20:59,0,13.09,-0.005,0.062,28.8,0,0.168,1.43,1.66,0.064,0.075,0.028,0.038,48.209,39.956,14.288,14.443,0.16,1.93,0.08,0.087,0.003,0.055,-0.08,50.421,46.749,14.258,14.553,0.087,0.06,0.73,0.003,0.033,-0.006,0.006,52.586,43.398,12.539,12.811,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 21:14,0,13.09,-0.003,0.062,28.8,0,0.151,1.27,1.51,0.057,0.068,0.022,0.035,49.344,40.939,14.217,14.361,0.122,1.54,0,0.069,0,0.04,-0.08,50.787,47.217,14.21,14.48,0.134,0.43,0.78,0.019,0.035,0.008,0.008,54.763,44.746,12.534,12.737,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 21:29,0,13.08,-0.003,0.062,28.8,0,0.208,1.95,1.85,0.087,0.083,0.045,0.048,48.929,40.364,14.192,14.318,0.241,2.69,0.36,0.121,0.017,0.082,-0.071,51.396,48.552,14.148,14.424,0.229,1.05,1,0.047,0.045,0.032,0.014,55.068,43.814,12.511,12.702,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 21:44,0,13.08,-0.003,0.062,28.8,0,0.18,1.57,1.74,0.07,0.079,0.033,0.041,48.737,40.065,14.043,14.225,0.068,0.92,-0.05,0.041,-0.003,0.013,-0.081,48.729,46.969,13.993,14.339,0.011,-0.45,0.59,-0.021,0.027,-0.02,0.003,52.541,43.198,12.214,12.566,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 21:59,0,13.07,-0.004,0.063,28.8,0,0.178,1.51,1.76,0.067,0.079,0.028,0.041,48.686,40.275,13.869,14.092,0.199,2.3,0.22,0.103,0.01,0.067,-0.078,50.592,47.177,13.783,14.187,0.148,0.52,0.81,0.023,0.036,0.019,0.009,52.239,42.893,11.989,12.383,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 22:14,0,13.07,-0.002,0.062,28.8,0,0.145,1.13,1.55,0.051,0.07,0.018,0.036,47.975,39.561,13.717,13.959,0.133,1.81,-0.13,0.081,-0.007,0.046,-0.088,49.671,45.842,13.538,14.028,0.067,-0.1,0.73,-0.006,0.033,-0.008,0.003,53.124,42.954,11.854,12.248,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 22:29,0,13.06,-0.004,0.063,28.8,0,0.137,0.98,1.55,0.044,0.07,0.013,0.036,49.149,39.752,13.541,13.807,0.138,1.66,0.08,0.075,0.003,0.047,-0.08,51.318,47.23,13.512,13.915,0.19,0.89,0.81,0.04,0.037,0.022,0.006,55.488,43.562,11.597,12.071,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 22:44,0,13.06,-0.004,0.062,28.8,0,0.134,1.01,1.46,0.046,0.066,0.015,0.033,48.648,39.664,13.492,13.716,0.153,1.79,0.14,0.08,0.007,0.05,-0.08,51.506,48.093,13.49,13.855,0.157,0.55,0.86,0.025,0.039,0.013,0.008,55.069,43.559,11.688,12.013,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 22:59,0,13.05,-0.004,0.063,28.8,0,0.167,1.57,1.49,0.071,0.067,0.026,0.031,47.969,39.972,13.381,13.629,0.138,1.79,-0.05,0.08,-0.003,0.047,-0.084,51.765,47.111,13.379,13.774,-0.096,-1.18,0.36,-0.054,0.017,-0.05,-0.006,50.057,42.521,11.524,11.949,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 23:14,0,13.05,-0.004,0.063,28.8,0,0.14,1.17,1.41,0.052,0.064,0.015,0.031,48.484,40.074,13.205,13.481,0.122,1.54,0,0.069,0,0.042,-0.081,51.405,46.749,13.309,13.687,0.117,0.25,0.81,0.011,0.036,0,0.009,55.382,43.301,11.285,11.749,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 23:29,0,13.04,-0.003,0.062,28.8,0,0.142,1.22,1.4,0.055,0.063,0.02,0.03,48.447,40.294,13.137,13.378,0.122,1.54,0,0.069,0,0.036,-0.081,49.978,47.389,13.172,13.594,0.085,0.13,0.65,0.006,0.029,-0.003,0.006,54.56,43.459,11.317,11.688,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 23:44,0,13.04,-0.004,0.062,28.8,0,0.131,1.06,1.35,0.048,0.06,0.01,0.03,48.755,39.926,13.029,13.281,0.082,1.16,-0.13,0.052,-0.007,0.02,-0.083,49.445,47.687,13.071,13.488,-0.002,-0.51,0.52,-0.025,0.023,-0.023,0,51.153,43.769,11.136,11.593,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
10/3/2022 23:59,0,13.03,-0.004,0.062,28.8,0,0.131,1.03,1.4,0.046,0.063,0.013,0.03,49.324,40.08,12.886,13.147,0.139,1.62,0.14,0.072,0.007,0.042,-0.074,50.382,46.968,13.005,13.394,0.187,0.86,0.81,0.039,0.036,0.024,0.006,56.093,43.345,10.977,11.439,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
11/3/2022 0:14,0,13.03,-0.003,0.062,28.8,0,0.132,1.05,1.4,0.047,0.063,0.013,0.03,48.901,39.658,12.803,13.049,0.125,1.57,0,0.071,0,0.04,-0.08,50.277,47.121,12.923,13.313,0.1,0.32,0.59,0.014,0.027,0.003,0.003,54.034,43.35,10.922,11.369,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
11/3/2022 0:29,0,13.02,-0.004,0.063,28.8,0,0.115,0.92,1.2,0.041,0.054,0.008,0.025,49.792,40.134,12.725,12.959,0.106,1.4,-0.05,0.063,-0.003,0.03,-0.083,50.709,47.293,12.824,13.221,0.1,0.25,0.65,0.011,0.029,0.003,0.003,54.563,44.803,10.96,11.325,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
11/3/2022 0:44,0,13.02,-0.005,0.063,28.8,0,0.142,1.25,1.35,0.056,0.06,0.015,0.028,49.221,39.974,12.609,12.858,0.034,0.62,-0.2,0.028,-0.01,0.003,-0.093,49.364,47.034,12.671,13.109,0.079,0.19,0.52,0.009,0.023,-0.003,0,54.394,42.988,10.87,11.284,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
11/3/2022 0:59,0,13.02,-0.004,0.062,28.8,0,0.111,0.86,1.2,0.039,0.054,0.008,0.023,48.96,39.558,12.491,12.739,0.106,1.4,-0.05,0.063,-0.003,0.035,-0.083,50.397,47.393,12.563,12.994,0.109,0.25,0.73,0.011,0.033,0,0.009,55.388,43.874,10.844,11.204,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
11/3/2022 1:14,0,13.01,-0.003,0.062,28.8,0,0.118,0.92,1.27,0.042,0.057,0.01,0.028,48.869,40.452,12.382,12.63,0.092,1.22,-0.05,0.055,-0.003,0.028,-0.087,49.675,46.259,12.45,12.886,0.109,0.32,0.67,0.014,0.03,0.003,0.003,54.572,43.726,10.753,11.143,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
11/3/2022 1:29,0,13.01,-0.004,0.063,28.8,0,0.112,0.87,1.2,0.039,0.054,0.005,0.025,48.446,39.358,12.273,12.52,0.108,1.41,-0.05,0.063,-0.003,0.033,-0.084,50.446,46.617,12.323,12.77,0.044,-0.16,0.59,-0.009,0.026,-0.014,0.003,54.005,44.246,10.744,11.096,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
11/3/2022 1:44,0,13,-0.003,0.062,28.8,0,0.102,0.75,1.14,0.033,0.051,0,0.023,47.637,39.635,12.148,12.402,0.077,1.09,-0.13,0.049,-0.007,0.02,-0.087,49.871,47.544,12.213,12.662,0.06,-0.1,0.67,-0.006,0.03,-0.014,0.006,53.412,44.481,10.6,10.999,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,-1004600,,,,,,,,,,
